Time (s),Position Simple (m),Position Verlet (m),Position Theory (m),R.D Position Simple (%),R.D Position Verlet (%),Velocity Simple (m/s),Velocity Verlet (m/s),Velocity Theory (m/s),R.D Velocity Simple (%),R.D Velocity Verlet (%)
2.700000000000001,63.90069527388485,65.17229489343252,66.25111901008147,3.547749489090067,1.6283862563661458,-25.43199253526341,-25.43199234737828,-24.37788241235728,4.324043020126297,4.3240422494066415
2.800000000000001,61.2674654257716,62.58408034177727,63.7800595684489,3.939466597676629,1.875161664576524,-26.332298481132543,-26.33229828691242,-25.202233346307082,4.483988062871623,4.483987292225142
2.9000000000000012,58.544493162124176,59.90597928500036,61.227090970769055,4.38139027367085,2.1577240806678453,-27.229722636474182,-27.22972243596156,-26.02131610632901,4.643910112798863,4.643909342228218
3.0000000000000013,55.73206574258792,57.13827944244881,58.592736674827876,4.882296159190893,2.4823166059828625,-28.12427419536253,-28.124273988599693,-26.835164329646318,4.803808353400172,4.803807582908011
3.1000000000000014,52.830469510333984,54.28126761552885,55.87751679614002,5.453082850697698,2.856693124776515,-29.01596232253939,-29.015962109568417,-27.643811438709264,4.9636819686475,4.963681198236464
3.2000000000000015,49.83998989498321,51.335229690634485,53.08194812928919,6.1074590299694576,3.2906072595532923,-29.904796153507736,-29.904795934370505,-28.44729064256643,5.12353014300913,5.123529372681881
3.3000000000000016,46.76091141552071,48.30045064206672,50.2065441691322,6.86291560320123,3.7965041382740234,-30.79078479462501,-30.79078456936319,-29.24563493822731,5.283352061466159,5.283351291225327
3.4000000000000017,43.5935176832011,45.177214534943445,47.25181513186768,7.742131045034379,4.390520430029105,-31.673937323196117,-31.673937091851176,-30.038877112016138,5.4431469095291956,5.443146139377434
3.5000000000000018,40.33809140444449,41.96580452810008,44.21826797597025,8.77505327353478,5.0939657995972105,-32.554262787566095,-32.5542625501793,-30.827049740917147,5.602913873254618,5.602913103194574
3.600000000000002,36.99491438372324,38.666502876980914,41.106406422990986,10.00207120262444,5.935579775335028,-33.43177020721252,-33.43176996382494,-31.610185193911178,5.762652139261185,5.76265136929549
3.700000000000002,33.56426752643948,35.279590936521274,37.916730978225154,11.479005018352478,6.955082818764989,-34.30646857283763,-34.30646832349012,-32.38831563330376,5.92236089474656,5.922360124877849
3.800000000000002,30.04643084179347,31.805349164020438,34.64973895124791,13.285260578532162,8.208978980273193,-35.17836684646009,-35.17836659119332,-33.16147301604482,6.0820393275033675,6.082038557734276
3.900000000000002,26.441683445642816,28.244057122005444,31.305924476318907,15.537765173986806,9.7804725640017,-36.04747396150652,-36.04747370036097,-33.92968909503978,6.241686625935938,6.241685856269141
4.000000000000002,22.75030356335254,24.595993481085713,27.88577853265663,18.416107562820997,11.79735773816857,-36.913798822902756,-36.91379855591868,-34.692995420452434,6.401301979076444,6.401301209514547
4.100000000000001,18.972568532636068,20.861436022798596,24.38978896458328,22.211018060933718,14.46651689733047,-37.777350307164724,-37.7773500343822,-35.45142334099938,6.560884576601522,6.560883807147164
4.200000000000001,15.108754806387157,17.040661642445826,20.818440501540987,27.42609704473876,18.14631052126853,-38.63813726248911,-38.638136983948016,-36.20500400523639,6.720433608848136,6.720432839503948
4.300000000000001,11.159137955502786,13.133946351920923,17.172214777980297,35.01631501946971,23.51629349079417,-39.49616850884371,-39.49616822458373,-36.953768362836314,6.879948266830177,6.8799474975987955
4.4,7.123992671697036,9.141565282527582,13.451590353121588,47.039773850652274,32.04100747532665,-40.35145283805749,-40.351452548118104,-37.69774716585897,7.039427742254721,7.039426973138771
4.5,3.0035927703059997,5.063792687789067,9.657042730590376,68.89738552371118,47.563733235345275,-41.20399901391036,-41.203998718330865,-38.436970970012936,7.198871227538081,7.198870458540188
4.6,-1.2017888069162677,0.9009019462486423,5.789044377927226,100,84.43781240158309,-42.05381577222267,-42.053815471042164,-39.17147013590926,7.358277915821971,7.358277146944762
